article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end
22951949,medicine,94,102,14,22951949,copper,14,93,99
22898566,epa,1034,1037,100,22898566,epa,100,1034,1037
22499272,carbohydrate,359,371,100,22499272,carbohydrate,100,359,371
23126495,β sitosterol,296,308,100,23126495,β sitosterol,100,296,308
23103351,midazolam,1761,1770,100,23103351,midazolam,100,1761,1770
23086141,cort,402,406,100,23086141,cort,100,402,406
23017392,anthocyanin,927,938,100,23017392,anthocyanin,100,927,938
23135241,paroxetine,1390,1400,100,23135241,paroxetine,100,1390,1400
23200943,progesterone,564,576,100,23200943,progesterone,100,564,576
23210742,aca,556,559,100,23210742,aca,100,556,559
23199998,formic acid,377,388,100,23199998,formic acid,100,377,388
23201092,gonadotrophin inhibitory hormone,0,32,100,23201092,gonadotrophin inhibitory hormone,100,0,32
23121886,cu,357,359,100,23121886,cu,100,357,359
23244162,paa,614,617,100,23244162,paa,100,614,617
23085122,carbamate,487,496,100,23085122,carbamate,100,487,496
22995584,epo b,616,621,100,22995584,epo b,100,616,621
23190031,mangiferin,229,239,100,23190031,mangiferin,100,229,239
23111881,taa 900,964,971,60,23111881,taa,60,964,967
23143037,ibuprofen,268,277,100,23143037,ibuprofen,100,268,277
23168115,5 ht,235,239,100,23168115,5 ht,100,235,239
23078954,tylosin,565,572,100,23078954,tylosin,100,565,572
23127499,8 oxoguanine,322,334,100,23127499,8 oxoguanine,100,322,334
23065592,genetic factors,18,33,17,23065592,vitamin d,17,21,30
22720714,investigation,18,31,42,22720714,lignan,42,23,29
23108036,arsenic,272,279,100,23108036,arsenic,100,272,279
23165154,rotigotine,842,852,100,23165154,rotigotine,100,842,852
23148024,pah,37,40,100,23148024,pah,100,37,40
22901687,testosterone,414,426,100,22901687,testosterone,100,414,426
22718571,swertiamarin,834,846,100,22718571,swertiamarin,100,834,846
23159886,paraquat,83,91,100,23159886,paraquat,100,83,91
23230133,danofloxacin,1049,1061,100,23230133,danofloxacin,100,1049,1061
23054066,mdma,302,306,100,23054066,mdma,100,302,306
23212047,gtp,513,516,100,23212047,gtp,100,513,516
23174340,bms 763534,861,871,100,23174340,bms 763534,100,861,871
23220616,s adenosylhomocysteine,525,547,100,23220616,s adenosylhomocysteine,100,525,547
23197773,5 4 alkylphenyl 1 2 4 dichlorophenyl 4 methyl n piperidin 1 yl 1h pyrazole 3 carboxamide,828,922,100,23197773,5 4 alkylphenyl 1 2 4 dichlorophenyl 4 methyl n piperidin 1 yl 1h pyrazole 3 carboxamide,100,828,922
23122102,ascorbic acid,863,876,100,23122102,ascorbic acid,100,863,876
23146758,estradiol,585,594,100,23146758,estradiol,100,585,594
23228341,organotins,1039,1049,100,23228341,organotins,100,1039,1049
22981459,diazepam,1377,1385,100,22981459,diazepam,100,1377,1385
23044094,6 methylcumarin,1129,1144,100,23044094,6 methylcumarin,100,1129,1144
23256625,gsk1292263,60,70,100,23256625,gsk1292263,100,60,70
22813627,monoisononyl phthalate,262,284,100,22813627,monoisononyl phthalate,100,262,284
23238103,testosterone,712,724,100,23238103,testosterone,100,712,724
23142789,bpa,1143,1146,100,23142789,bpa,100,1143,1146
22591127,fame,435,439,100,22591127,fame,100,435,439
23123249,sarin,1425,1430,100,23123249,sarin,100,1425,1430
23048186,rm 493,591,597,100,23048186,rm 493,100,591,597
23019138,am4054,733,739,100,23019138,am4054,100,733,739
23150067, 13 c nmr,364,373,71,23150067, 13 c,71,364,369
23186033,rai,970,973,100,23186033,rai,100,970,973
23256708,1 4 dienes,373,383,100,23256708,1 4 dienes,100,373,383
23200255,pyridazinone ring,254,271,83,23200255,pyridazinone,83,254,266
23137956,selenite,608,616,100,23137956,selenite,100,608,616
23208822,polyhydroxy caprolactam amide,23,52,100,23208822,polyhydroxy caprolactam amide,100,23,52
22986947,gsh,1174,1177,100,22986947,gsh,100,1174,1177
23220037, ³h choline,1009,1021,100,23220037, ³h choline,100,1009,1021
23085522,hcb,961,964,100,23085522,hcb,100,961,964
23249384,hepes,129,134,100,23249384,hepes,100,129,134
23157634,gaba,289,293,100,23157634,gaba,100,289,293
23210786,thymoquinone,1161,1173,100,23210786,thymoquinone,100,1161,1173
23063623,androgens,34,43,100,23063623,androgens,100,34,43
23177260,trimethyltin,175,187,100,23177260,trimethyltin,100,175,187
23211363, npa,853,860,100,23211363, npa,100,853,860
23178632,amiodarone,296,306,100,23178632,amiodarone,100,296,306
23097088,cdcl₂,842,847,100,23097088,cdcl₂,100,842,847
23122161,hexane,790,796,100,23122161,hexane,100,790,796
23178257,phosphorus,152,162,100,23178257,phosphorus,100,152,162
23178632,amiodarone,1278,1288,100,23178632,amiodarone,100,1278,1288
22998221,span80,361,367,100,22998221,span80,100,361,367
23123664,taurine,1784,1791,100,23123664,taurine,100,1784,1791
22718571,gentianine,601,611,100,22718571,gentianine,100,601,611
22790339,dimethylethylenediamine,343,366,100,22790339,dimethylethylenediamine,100,343,366
23170792,thienopyridines,349,364,100,23170792,thienopyridines,100,349,364
23046524,paraoxon,757,765,100,23046524,paraoxon,100,757,765
23152191,δ 9 tetrahydrocannabinol,0,25,100,23152191,δ 9 tetrahydrocannabinol,100,0,25
22761042,meoh,373,377,100,22761042,meoh,100,373,377
23179349,iron,381,385,100,23179349,iron,100,381,385
22381584,glutamate,578,587,100,22381584,glutamate,100,578,587
23174144,cu nps,356,362,50,23174144,cu,50,356,358
22992332,effectiveness,4,17,15,22992332,valproic acid,15,0,13
23084158,potassium hydroxide,148,167,100,23084158,potassium hydroxide,100,148,167
23249624,valine,213,219,100,23249624,valine,100,213,219
22614004,dca,976,979,100,22614004,dca,100,976,979
23220618,img,1322,1325,100,23220618,img,100,1322,1325
23218718,doxorubicin,298,309,100,23218718,doxorubicin,100,298,309
22493952,taraxerone,1294,1304,100,22493952,taraxerone,100,1294,1304
22607130,apigenin,944,952,100,22607130,apigenin,100,944,952
23237860,coa,1495,1498,100,23237860,coa,100,1495,1498
23141427,no,767,769,100,23141427,no,100,767,769
23046524,paraoxon,1298,1306,100,23046524,paraoxon,100,1298,1306
23220614,sp600125,1006,1014,100,23220614,sp600125,100,1006,1014
23190031,mangiferin,855,865,100,23190031,mangiferin,100,855,865
23202847,nystatin,664,672,100,23202847,nystatin,100,664,672
23099502,t 2,369,372,100,23099502,t 2,100,369,372
23253427,corm 319,575,583,100,23253427,corm 319,100,575,583
23085122,procyclidine,551,563,100,23085122,procyclidine,100,551,563
22830954,clopidogrel,320,331,100,22830954,clopidogrel,100,320,331
22986947,a438079,674,681,100,22986947,a438079,100,674,681
23059509,cd,190,192,100,23059509,cd,100,190,192
23202847,sulfone,29,36,100,23202847,sulfone,100,29,36
23103566,hfcs 55,35,42,100,23103566,hfcs 55,100,35,42
23123225,β asarone,153,162,100,23123225,β asarone,100,153,162
23142844,tetracaine,1471,1481,100,23142844,tetracaine,100,1471,1481
22451331,fructose,417,425,100,22451331,fructose,100,417,425
23146758,testosterone,228,240,100,23146758,testosterone,100,228,240
23044094,retinoic acid,1288,1301,100,23044094,retinoic acid,100,1288,1301
23086182,ddt,1182,1185,100,23086182,ddt,100,1182,1185
23136062,ge,1459,1461,50,23136062, 68 ge,50,1454,1461
23238226,si 111,707,713,50,23238226,si,50,707,709
23164619,acetylcholine,221,234,100,23164619,acetylcholine,100,221,234
23244162,s ps pvp,636,644,80,23244162,ps pvp ,80,638,645
23229136,results,59,66,13,23229136,platinum,13,54,62
23218401,aspalathin,659,669,100,23218401,aspalathin,100,659,669
22878908,tzds,899,903,100,22878908,tzds,100,899,903
22995584,epothilone a,136,148,100,22995584,epothilone a,100,136,148
22581512,limonene,530,538,100,22581512,limonene,100,530,538
22401710,ketoprofen,466,476,100,22401710,ketoprofen,100,466,476
22591127,oleic,670,675,100,22591127,oleic,100,670,675
23246798,peo,610,613,100,23246798,peo,100,610,613
23164932,3 np,292,296,100,23164932,3 np,100,292,296
22992332,dcs,36,39,100,22992332,dcs,100,36,39
23220616,spermidine,565,575,100,23220616,spermidine,100,565,575
23091188,glycocholic acid,1487,1503,100,23091188,glycocholic acid,100,1487,1503
23122079,compound c,669,679,100,23122079,compound c,100,669,679
23211707,estrogens,151,160,100,23211707,estrogens,100,151,160
23020788,abiraterone,73,84,100,23020788,abiraterone,100,73,84
23122099,5 formyltetrahydrofolate,370,394,100,23122099,5 formyltetrahydrofolate,100,370,394
23146695,ccl 4,214,219,91,23146695,ccl 4 ,91,214,220
23220512,gkb,745,748,100,23220512,gkb,100,745,748
23044094,chloropromazine,815,830,100,23044094,chloropromazine,100,815,830
23238642,arsenic,176,183,100,23238642,arsenic,100,176,183
23150493,n acetylcysteine,1157,1173,100,23150493,n acetylcysteine,100,1157,1173
22837389,progesterone,659,671,100,22837389,progesterone,100,659,671
23220618,img,653,656,100,23220618,img,100,653,656
23212047,gmp,502,505,100,23212047,gmp,100,502,505
23154533,ptu,950,953,100,23154533,ptu,100,950,953
23146755,carvacrol,416,425,100,23146755,carvacrol,100,416,425
23165858,ca,588,590,100,23165858,ca,100,588,590
23135549,cd 2,931,935,67,23135549,cd,67,931,933
22981459,hi 6,1390,1394,100,22981459,hi 6,100,1390,1394
23022271,n methyl d aspartate,285,305,100,23022271,n methyl d aspartate,100,285,305
23103569,naproxen,953,961,100,23103569,naproxen,100,953,961
23198782,sucrose,154,161,100,23198782,sucrose,100,154,161
22732440,γ aminobutyric acid,961,980,100,22732440,γ aminobutyric acid,100,961,980
22982007,mn 3 o 4,51,59,94,22982007,mn 3 o 4 ,94,51,60
22491024,calcium flux,1576,1588,74,22491024,calcium,74,1576,1583
23010360,gs967,1014,1019,100,23010360,gs967,100,1014,1019
22301815,endosulfan,15,25,9,22301815,carbohydrate,9,11,23
23103569,iberin,695,701,100,23103569,iberin,100,695,701
22918489,adp,522,525,100,22918489,adp,100,522,525
23249384,hepes,934,939,100,23249384,hepes,100,934,939
23055540,ino 8875,1050,1058,100,23055540,ino 8875,100,1050,1058
23220512,gymnaster koraiensis,0,20,30,23220512,polyacetylene,30,2,15
23020786,nabumetone,499,509,100,23020786,nabumetone,100,499,509
23220618,img,1194,1197,100,23220618,img,100,1194,1197
23247545,zn,587,589,100,23247545,zn,100,587,589
23115221,nicotine,847,855,100,23115221,nicotine,100,847,855
23256625,gsk1292263,324,334,100,23256625,gsk1292263,100,324,334
23168114,stp,442,445,100,23168114,stp,100,442,445
23000446,rutin,773,778,100,23000446,rutin,100,773,778
23108727,ga in nas,174,183,100,23108727,ga in nas,100,174,183
23256525,ag 55,761,766,91,23256525,ag 55 ,91,761,767
22581512,α pinene,905,913,100,22581512,α pinene,100,905,913
23247545,cr,595,597,100,23247545,cr,100,595,597
23127499,8 oxog,336,342,100,23127499,8 oxog,100,336,342
22998295,mtx,1365,1368,100,22998295,mtx,100,1365,1368
23122151,quercitrin,988,998,100,23122151,quercitrin,100,988,998
22079313,mehg,122,126,100,22079313,mehg,100,122,126
22981459,oxime,683,688,100,22981459,oxime,100,683,688
22986947,a438079,546,553,100,22986947,a438079,100,546,553
23093494,ethanol,1300,1307,100,23093494,ethanol,100,1300,1307
22372659,arbutin,386,393,100,22372659,arbutin,100,386,393
23086747,iron ion,968,976,67,23086747,iron,67,968,972
23207679,triterpene saponins,175,194,100,23207679,triterpene saponins,100,175,194
23089250,hg,1876,1878,100,23089250,hg,100,1876,1878
23201051,stearoyl peg polysdm,1325,1345,100,23201051,stearoyl peg polysdm,100,1325,1345
23164921,catalpol,525,533,100,23164921,catalpol,100,525,533
23194515,amino acids,407,418,100,23194515,amino acids,100,407,418
23065531, 18 f dpa 714,1696,1710,100,23065531, 18 f dpa 714,100,1696,1710
23142789,ca,966,968,100,23142789,ca,100,966,968
22493952,aleuritolic acid,604,620,100,22493952,aleuritolic acid,100,604,620
23229057,pcn,220,223,100,23229057,pcn,100,220,223
23220037,dox,912,915,100,23220037,dox,100,912,915
23187618,pmo,708,711,100,23187618,pmo,100,708,711
23059509,free range,60,70,14,23059509,zinc,14,65,69
23252950,melphalan,715,724,100,23252950,melphalan,100,715,724
22796428,dual norepinephrine,184,203,85,22796428,norepinephrine,85,189,203
23078954,tylosin,327,334,100,23078954,tylosin,100,327,334
23197647,etoposide,933,942,100,23197647,etoposide,100,933,942
23142844,cholesterol,961,972,100,23142844,cholesterol,100,961,972
22616839,tween,347,352,77,22616839,tween 80,77,347,355
23142789,bisphenol a,135,146,100,23142789,bisphenol a,100,135,146
22813627,mciop,500,505,100,22813627,mciop,100,500,505
22447662,creatinine,1178,1188,100,22447662,creatinine,100,1178,1188
23019138,rimonabant,1683,1693,100,23019138,rimonabant,100,1683,1693
22815312,carbamazepine,1168,1181,100,22815312,carbamazepine,100,1168,1181
23084158,mg oh 2 ,301,310,100,23084158,mg oh 2 ,100,301,310
23000445,wogonoside,695,705,100,23000445,wogonoside,100,695,705
22830954,clopidogrel,979,990,100,22830954,clopidogrel,100,979,990
23152191,δ 9 thc,559,567,100,23152191,δ 9 thc,100,559,567
23177260,serotonin,601,610,100,23177260,serotonin,100,601,610
23210639,pnimaam,401,408,100,23210639,pnimaam,100,401,408
23180684,methyl mercury,0,14,100,23180684,methyl mercury,100,0,14
23190031,mangiferin,0,10,100,23190031,mangiferin,100,0,10
22864849,gsh,586,589,100,22864849,gsh,100,586,589
22491024,lu af21934,779,789,100,22491024,lu af21934,100,779,789
23115221,nicotine,1260,1268,100,23115221,nicotine,100,1260,1268
23237384,sulfonylureas,435,448,100,23237384,sulfonylureas,100,435,448
23206276,au,749,751,100,23206276,au,100,749,751
23099502,t 2 toxin,1230,1239,100,23099502,t 2 toxin,100,1230,1239
23205514,9 hydroxyrisperidone,693,713,100,23205514,9 hydroxyrisperidone,100,693,713
23194828,gaba,1321,1325,100,23194828,gaba,100,1321,1325
23111803,imidacloprid,1581,1593,100,23111803,imidacloprid,100,1581,1593
22725249,poly lactide co glycolic acid ,29,60,100,22725249,poly lactide co glycolic acid ,100,29,60
23237733,isoliquiritigenin,826,843,100,23237733,isoliquiritigenin,100,826,843
23205514,risperidone,1358,1369,100,23205514,risperidone,100,1358,1369
23165155,ddt,1089,1092,100,23165155,ddt,100,1089,1092
23076766,dox,773,776,100,23076766,dox,100,773,776
23020787,gemifloxacin mesylate,33,54,100,23020787,gemifloxacin mesylate,100,33,54
23085331,tlm,754,757,100,23085331,tlm,100,754,757
23194541,phenolic,345,353,100,23194541,phenolic,100,345,353
23211441,quercitrin,264,274,100,23211441,quercitrin,100,264,274
23246797,simvastatin,582,593,100,23246797,simvastatin,100,582,593
22809709,way100635,1245,1254,100,22809709,way100635,100,1245,1254
23103446,dnr,1046,1049,100,23103446,dnr,100,1046,1049
22956628,arsenic,94,101,100,22956628,arsenic,100,94,101
23170792,aspirin,337,344,100,23170792,aspirin,100,337,344
23231420,pmpts,1255,1260,100,23231420,pmpts,100,1255,1260
23136062,zn 2 ,27,33,100,23136062,zn 2 ,100,27,33
23231420,ps psq,472,478,67,23231420,psq,67,475,478
23157634, 1 h mrs,539,547,67,23157634, 1 h,67,539,543
22548320,dpph,419,423,100,22548320,dpph,100,419,423
23047462,fto,651,654,100,23047462,fto,100,651,654
23123771,his438,1022,1028,67,23123771,his,67,1022,1025
23142559,ach,486,489,100,23142559,ach,100,486,489
22830954,clarithromycin,1079,1093,100,22830954,clarithromycin,100,1079,1093
22503097,griseofulvin,289,301,100,22503097,griseofulvin,100,289,301
23178198,etazolate,1095,1104,100,23178198,etazolate,100,1095,1104
23122115,fructose,187,195,100,23122115,fructose,100,187,195
23253427,co rms,734,740,50,23253427,co,50,734,736
23247008,aldehydes,110,119,100,23247008,aldehydes,100,110,119
23103566,gw0742,1227,1233,100,23103566,gw0742,100,1227,1233
23250808,laurocapram,639,650,100,23250808,laurocapram,100,639,650
23238642,as 3 ,413,419,100,23238642,as 3 ,100,413,419
23202372,na o 2 cell,726,738,78,23202372,na o 2 ,78,726,733
23154194,l pro2,464,470,91,23154194,l pro,91,464,469
23115221,oral cotinine,1339,1352,76,23115221,cotinine,76,1344,1352
22472136,arsenic,45,52,100,22472136,arsenic,100,45,52
23247722,methanol,167,175,100,23247722,methanol,100,167,175
23253427,corm 319,1115,1123,100,23253427,corm 319,100,1115,1123
23103566,hfcs 55,712,719,100,23103566,hfcs 55,100,712,719
23190297,α naphthoflavone,737,753,100,23190297,α naphthoflavone,100,737,753
23142505,pge2,517,521,100,23142505,pge2,100,517,521
23212047,nad ,326,331,100,23212047,nad ,100,326,332
22577972,ethanol,433,440,100,22577972,ethanol,100,433,440
22712554,cyclic n hydroxyornithine,517,542,100,22712554,cyclic n hydroxyornithine,100,517,542
23177536,vpa,1426,1429,100,23177536,vpa,100,1426,1429
23200942,tabun,165,170,100,23200942,tabun,100,165,170
23197773,morphine,1300,1308,100,23197773,morphine,100,1300,1308
22079313,mehg,848,852,100,22079313,mehg,100,848,852
22511240,no,356,358,100,22511240,no,100,356,358
23143037,ibu,639,642,100,23143037,ibu,100,639,642
23061622,caboplatin,41,51,100,23061622,caboplatin,100,41,51
23256625,rosuvastain,1234,1245,100,23256625,rosuvastain,100,1234,1245
22313530,ly459477,990,998,100,22313530,ly459477,100,990,998
23142789,ethoxylates,59,70,11,23142789,calcium,11,60,67
23064722,adenosine,250,259,100,23064722,adenosine,100,250,259
22722028,d cycloserine,583,596,100,22722028,d cycloserine,100,583,596
22475036,oleanene triterpenoid,180,201,100,22475036,oleanene triterpenoid,100,180,201
23136062,nota,681,685,100,23136062,nota,100,681,685
23143037,ibu,1043,1046,100,23143037,ibu,100,1043,1046
23135549,ee₂,1367,1370,100,23135549,ee₂,100,1367,1370
23190033,co 2 ,1401,1406,100,23190033,co 2 ,100,1401,1406
23123225,β asarone,307,316,100,23123225,β asarone,100,307,316
22910795,hg 2 ,871,877,100,22910795,hg 2 ,100,871,877
23175103,co 3 ,1173,1179,100,23175103,co 3 ,100,1173,1179
23053666,cu,1228,1230,100,23053666,cu,100,1228,1230
23020788,abiraterone,306,317,100,23020788,abiraterone,100,306,317
22951949,dedtc,733,738,100,22951949,dedtc,100,733,738
23017390,gallic acid,328,339,100,23017390,gallic acid,100,328,339
22082827,pb,430,432,100,22082827,pb,100,430,432
23084046,gsh,1264,1267,100,23084046,gsh,100,1264,1267
23065531, 18 f dpa 714,592,606,100,23065531, 18 f dpa 714,100,592,606
22424051,melachromone,83,95,100,22424051,melachromone,100,83,95
23210742,aca,579,582,100,23210742,aca,100,579,582
23246481,wogonin,0,7,100,23246481,wogonin,100,0,7
23210639,poly n isopropylacrylamide,135,161,100,23210639,poly n isopropylacrylamide,100,135,161
23202847,sulfones,232,240,100,23202847,sulfones,100,232,240
23103446,nilotinib,951,960,100,23103446,nilotinib,100,951,960
22718571,swertiamarin,340,352,100,22718571,swertiamarin,100,340,352
23202134,pb,1101,1103,100,23202134,pb,100,1101,1103
23223499,estrogens,129,138,100,23223499,estrogens,100,129,138
23123664,taurine,761,768,100,23123664,taurine,100,761,768
23093496,atp,900,903,100,23093496,atp,100,900,903
23220340,polyethylene glycol,256,275,100,23220340,polyethylene glycol,100,256,275
23167531,darexaban,474,483,100,23167531,darexaban,100,474,483
22815312,estradiol,1196,1205,100,22815312,estradiol,100,1196,1205
23111348,monoterpenes,274,286,100,23111348,monoterpenes,100,274,286
23190297,bp 3,399,403,100,23190297,bp 3,100,399,403
22312035,afm1,680,684,100,22312035,afm1,100,680,684
22491024,lu af21934,599,609,100,22491024,lu af21934,100,599,609
23157625,glutamate,262,271,100,23157625,glutamate,100,262,271
23220609,benzylparaben,0,13,100,23220609,benzylparaben,100,0,13
23246469,gd bt do3a,302,312,100,23246469,gd bt do3a,100,302,312
23246481,wogonin,404,411,100,23246481,wogonin,100,404,411
23142073,stx,11,14,100,23142073,stx,100,11,14
23247722,dmso d 6,209,217,94,23247722,dmso d 6 ,94,209,218
23086747,iron,902,906,100,23086747,iron,100,902,906
23197773,am4054,450,456,100,23197773,am4054,100,450,456
23201337,oxytocin,684,692,100,23201337,oxytocin,100,684,692
23136062,trap,991,995,100,23136062,trap,100,991,995
23103569,s propyl cysteine,773,790,100,23103569,s propyl cysteine,100,773,790
23072941,acyclovir,1038,1047,100,23072941,acyclovir,100,1038,1047
23026138,methamphetamine,1192,1207,100,23026138,methamphetamine,100,1192,1207
23192347,pass,41,45,15,23192347,disulfide,15,37,46
22708583,flavones,34,42,100,22708583,flavones,100,34,42
23103224,cisplatin,0,9,100,23103224,cisplatin,100,0,9
22856387,tm 25659,1247,1255,100,22856387,tm 25659,100,1247,1255
23085382,minocycline,0,11,100,23085382,minocycline,100,0,11
23064325,itra,1191,1195,100,23064325,itra,100,1191,1195
23065141,noh dca,1205,1212,100,23065141,noh dca,100,1205,1212
22564442,amn082,957,963,100,22564442,amn082,100,957,963
22335586,risperidone,759,770,100,22335586,risperidone,100,759,770
22989775,carbamates,4,14,100,22989775,carbamates,100,4,14
23248329,sphingomyelin,936,949,100,23248329,sphingomyelin,100,936,949
22585412,p coumaric acid,306,321,100,22585412,p coumaric acid,100,306,321
23143619,drug trovafloxacin,916,934,84,23143619,trovafloxacin,84,921,934
23200943,progesterone,1845,1857,100,23200943,progesterone,100,1845,1857
22989414,phosphatidylserine,854,872,100,22989414,phosphatidylserine,100,854,872
22966073,glutamates,1095,1105,100,22966073,glutamates,100,1095,1105
23204517,atp,739,742,100,23204517,atp,100,739,742
22910795,n acetylcysteine,814,830,100,22910795,n acetylcysteine,100,814,830
23058251,organochlorines,154,169,100,23058251,organochlorines,100,154,169
23089250,se,1545,1547,100,23089250,se,100,1545,1547
23246469,gd dtpa bma,314,325,100,23246469,gd dtpa bma,100,314,325
23229510,e235,640,644,100,23229510,e235,100,640,644
23179753,mehg,1264,1268,100,23179753,mehg,100,1264,1268
23244292,b rg o,691,697,29,23244292,b,29,691,692
23086141,corticosterone,386,400,100,23086141,corticosterone,100,386,400
22966073,cysteines,280,289,100,22966073,cysteines,100,280,289
23164932,3 np,701,705,100,23164932,3 np,100,701,705
23182946,propidium iodide,877,893,100,23182946,propidium iodide,100,877,893
23085436,triacylglycerol,735,750,100,23085436,triacylglycerol,100,735,750
22977165,gadodiamide,552,563,100,22977165,gadodiamide,100,552,563
22998295,mtx,72,75,100,22998295,mtx,100,72,75
23111348,monoterpenes,675,687,100,23111348,monoterpenes,100,675,687
22998295,mtx β cd,542,550,55,22998295,mtx,55,542,545
23212107,apixaban,258,266,100,23212107,apixaban,100,258,266
23190031,polyphenol,30,40,30,23190031,xanthonoid,30,25,35
22610748,thiobarbituric acid,993,1012,100,22610748,thiobarbituric acid,100,993,1012
23205740,sps,502,505,100,23205740,sps,100,502,505
23254198,progestogen,295,306,100,23254198,progestogen,100,295,306
23246797,soluplus,2640,2648,100,23246797,soluplus,100,2640,2648
23091188,lpv,777,780,100,23091188,lpv,100,777,780
23153618,lopinavir,66,75,100,23153618,lopinavir,100,66,75
23182087,nk041,375,380,100,23182087,nk041,100,375,380
23146664,mesalamine,1381,1391,100,23146664,mesalamine,100,1381,1391
23157632,dopa,588,592,100,23157632,dopa,100,588,592
23122111,neferine,710,718,100,23122111,neferine,100,710,718
23154194,l pro2,1275,1281,91,23154194,l pro,91,1275,1280
22438091,sinensetin,670,680,100,22438091,sinensetin,100,670,680
23200735,quercetin,670,679,100,23200735,quercetin,100,670,679
22864849,chrysin,997,1004,100,22864849,chrysin,100,997,1004
22532499,vescalagin,945,955,100,22532499,vescalagin,100,945,955
23200254,4 azaindole core,299,315,81,23200254,4 azaindole,81,299,310
23199996,pb,175,177,100,23199996,pb,100,175,177
23249624,dabrafenib,338,348,100,23249624,dabrafenib,100,338,348
23135549,cdcl₂,594,599,100,23135549,cdcl₂,100,594,599
22813627,minp g,456,462,100,22813627,minp g,100,456,462
22901687,oleuropein,569,579,100,22901687,oleuropein,100,569,579
23190297,3 methylcholanthrene ,1006,1027,98,23190297,3 methylcholanthrene,98,1006,1026
23146695,puerarin,1102,1110,100,23146695,puerarin,100,1102,1110
23058251,imidacloprid,1479,1491,100,23058251,imidacloprid,100,1479,1491
23054066,serotonin,1090,1099,100,23054066,serotonin,100,1090,1099
23238103,corticosterone,729,743,100,23238103,corticosterone,100,729,743
23073075,fty720 p,1187,1195,100,23073075,fty720 p,100,1187,1195
23194076,orlistat,392,400,100,23194076,orlistat,100,392,400
23199989,dmhf,744,748,100,23199989,dmhf,100,744,748
23126495,ursolic acid,341,353,100,23126495,ursolic acid,100,341,353
23201371,vitamins b,1304,1314,100,23201371,vitamins b,100,1304,1314
22553909,itr,534,537,100,22553909,itr,100,534,537
23152189,free fatty acids,669,685,81,23152189,fatty acids,81,674,685
23253427,dmso,912,916,100,23253427,dmso,100,912,916
23199987,spermidine,390,400,100,23199987,spermidine,100,390,400
23044908,treatment,47,56,17,23044908,zoledronic acid,17,45,60
23152189,tcdd,1365,1369,100,23152189,tcdd,100,1365,1369
23122151,flavonoids,957,967,100,23122151,flavonoids,100,957,967
23201371,vitamin b12,1005,1016,100,23201371,vitamin b12,100,1005,1016
23219702, sattabacin,46,60,100,23219702, sattabacin,100,46,60
23122111,neferine,120,128,100,23122111,neferine,100,120,128
23091188,lpv,1236,1239,100,23091188,lpv,100,1236,1239
23174144,cu nps,1333,1339,50,23174144,cu,50,1333,1335
23014761,erlotinib,772,781,100,23014761,erlotinib,100,772,781
23229056,erythromycin a,381,395,100,23229056,erythromycin a,100,381,395
23199989,vanillin,692,700,100,23199989,vanillin,100,692,700
22610748,sch ,251,255,86,22610748,sch,86,251,254
23256531,cetyltrimethylammonium chloride,1900,1931,100,23256531,cetyltrimethylammonium chloride,100,1900,1931
22720714,phytochemical,4,17,25,22720714,furolactone,25,6,17
22591127,h h,953,956,50,22591127,h,50,955,956
23164616,microglia,68,77,25,23164616,ethanol,25,65,72
23042952,rsv,789,792,100,23042952,rsv,100,789,792
22809709,mecamylamine,884,896,100,22809709,mecamylamine,100,884,896
22056334,furans,950,956,100,22056334,furans,100,950,956
23109258,metsulfuron methyl,789,807,100,23109258,metsulfuron methyl,100,789,807
22989414,n acetyl l cysteine,1413,1432,100,22989414,n acetyl l cysteine,100,1413,1432
22995439,fe 3 o 4 nps,848,861,86,22995439,fe 3 o 4 ,86,848,857
22708583,dpph,207,211,100,22708583,dpph,100,207,211
22313530,ly459477,366,374,100,22313530,ly459477,100,366,374
23142559,pilocarpine,936,947,100,23142559,pilocarpine,100,936,947
23089250,semet,2096,2101,100,23089250,semet,100,2096,2101
23212976,polychlorinated biphenyls,188,213,100,23212976,polychlorinated biphenyls,100,188,213
22401710,pvpp,1416,1420,100,22401710,pvpp,100,1416,1420
23164985,3 cyanopyridine,26,41,100,23164985,3 cyanopyridine,100,26,41
22239172,terrestric acid,355,370,100,22239172,terrestric acid,100,355,370
23246797,soluplus,998,1006,100,23246797,soluplus,100,998,1006
23064325,itra,1081,1085,100,23064325,itra,100,1081,1085
23256531,c 60,65,69,89,23256531,c 60 ,89,65,70
23182087,nk0148,101,107,100,23182087,nk0148,100,101,107
22553909,itrdnt,979,985,100,22553909,itrdnt,100,979,985
22910795,pb no 3 2,412,423,95,22910795,pb no 3 2 ,95,412,424
23246798,camphor,721,728,100,23246798,camphor,100,721,728
23078954,tylosin,1660,1667,100,23078954,tylosin,100,1660,1667
23089250,mercury,18,25,100,23089250,mercury,100,18,25
23008095,radioiodine,815,826,100,23008095,radioiodine,100,815,826
22963497,phoenixin,575,584,100,22963497,phoenixin,100,575,584
23245695,cisplatin,0,9,100,23245695,cisplatin,100,0,9
23201441,oflx,224,228,100,23201441,oflx,100,224,228
23107818,rapamycin,1024,1033,100,23107818,rapamycin,100,1024,1033
23084046,tio 2 ,623,629,100,23084046,tio 2 ,100,623,629
